Timestamp,Qual é o seu cargo atualmente?,Qual é sua senioridade?,Regime de contratação,Qual é o seu salário mensal bruto? (Informe a moeda),Qual é seu gênero?,Em qual região do Brasil você mora?,Modelo de Atuação,Trabalho remoto,Você cria ou dá manutenção em testes automatizados em seu trabalho?,Moeda,Você foi afetado pela onda de demissões em massa nos últimos 6 meses?,"Se você foi atingido pelo lay-off, o que aconteceu com seu salário ao voltar?"
12/4/23 20:21,Analista de Testes,Pleno,CLT,5099,Feminino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/4/23 20:26,Analista de Qualidade (QA),Pleno,CLT,7549.95,Masculino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/4/23 22:03,Analista de Testes,Júnior,CLT,4700,Feminino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
12/4/23 22:05,Analista de Qualidade (QA),Júnior,PJ,16000,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/5/23 1:20,Automatizador de Testes,Pleno,CLT,6000,Masculino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
12/6/23 10:46,Analista de Qualidade (QA),Pleno,CLT,8204,Feminino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
12/6/23 10:55,Analista de Qualidade (QA),Júnior,CLT,4200,Masculino,Nordeste,Híbrido (presencial e remoto),Eu não fui contratado(a) para trabalho remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 10:57,Analista de Testes,Pleno,CLT,4578.4,Feminino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 11:03,Analista de Qualidade (QA),Júnior,CLT,6000,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 11:04,Executor de Testes,Pleno,PJ,7000,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 11:41,Analista de Testes,Júnior,CLT,6000,Masculino,Nordeste,Remoto para empresa em outro país,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 11:56,Engenheiro de Qualidade (QA Engineer),Sênior,Contrato,5500,Masculino,Centro-Oeste,Remoto para empresa em outro país,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",USD,Não,Não fui atingido por lay-offs
12/6/23 12:02,Analista de Testes,Sênior,CLT,11120,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Sim,Não fui atingido por lay-offs
12/6/23 12:17,Analista de Qualidade (QA),Pleno,CLT,6031,Feminino,Sudeste,Híbrido (presencial e remoto),Eu não fui contratado(a) para trabalho remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 12:23,Analista de Qualidade (QA),Júnior,CLT,2300,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
12/6/23 12:30,Engenheiro de Qualidade (QA Engineer),Sênior,PJ,25000,Masculino,Sudeste,Remoto para empresa em outro país,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
12/6/23 12:32,Analista de Qualidade (QA),Pleno,PJ,7000,Masculino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 13:05,Analista de Testes,Júnior,CLT,4000,Masculino,Sudeste,Presencial,Eu não fui contratado(a) para trabalho remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 13:14,Analista de Qualidade (QA),Pleno,CLT,7500,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 13:22,Analista de Qualidade (QA),Sênior,CLT,11000,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Sim,Voltei do layoff com salário menor
12/6/23 13:24,Analista de Testes,Pleno,CLT,3800,Masculino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 13:26,Analista de Testes,Pleno,CLT,4800,Masculino,Sul,Híbrido (presencial e remoto),Eu não fui contratado(a) para trabalho remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 13:33,Analista de Qualidade (QA),Sênior,CLT,10000,Feminino,Sudeste,Híbrido (presencial e remoto),Eu trabalhava remoto e a empresa forçou trabalharmos híbrido,Não,BRL,Sim,Voltei do layoff com salário maior
12/6/23 13:36,Automatizador de Testes,Sênior,CLT,6345,Masculino,Centro-Oeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
12/6/23 13:37,Engenheiro de Qualidade (QA Engineer),Sênior,PJ,7500,Masculino,Sudeste,Remoto para empresa em outro país,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",USD,Não,Não fui atingido por lay-offs
12/6/23 14:05,Analista de Qualidade (QA),Júnior,CLT,6966.04,Feminino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 14:09,Analista de Testes,Pleno,CLT,6000,Masculino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Sim,Voltei do layoff com salário menor
12/6/23 14:19,Engenheiro de Qualidade (QA Engineer),Sênior,CLT,13500,Masculino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 14:32,Analista de Testes,Sênior,CLT,7000,Feminino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 14:34,Analista de Testes,Sênior,CLT,7000,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 14:38,Analista de Qualidade (QA),Júnior,CLT,2200,Masculino,Sudeste,Híbrido (presencial e remoto),Eu trabalhava remoto e a empresa forçou trabalharmos híbrido,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 14:44,Engenheiro de Qualidade (QA Engineer),Sênior,CLT,9850,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 14:45,Engenheiro de Qualidade (QA Engineer),Sênior,CLT,18000,Feminino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
12/6/23 14:46,Automatizador de Testes,Especialista,CLT,10500,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 14:57,Analista de Testes,Pleno,CLT,4800,Feminino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Sim,Voltei do layoff com salário menor
12/6/23 14:58,Analista de Testes,Sênior,CLT,8500,Feminino,Sudeste,Híbrido (presencial e remoto),Eu não fui contratado(a) para trabalho remoto,"Sim, mais de 8 horas por semama",BRL,Não,Voltei do layoff com salário menor
12/6/23 14:58,Analista de Qualidade (QA),Pleno,PJ,4500,Masculino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Sim,Voltei do layoff com salário menor
12/6/23 15:03,Engenheiro de Qualidade (QA Engineer),Especialista,CLT,13600,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
12/6/23 15:07,Analista de Testes,Júnior,PJ,2700,Masculino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 15:07,Engenheiro de Qualidade (QA Engineer),Júnior,CLT,4000,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 15:11,Engenheiro de Qualidade (QA Engineer),Sênior,CLT,9000,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Sim,Voltei do layoff com salário menor
12/6/23 15:22,Analista de Testes,Pleno,CLT,2800,Feminino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 15:31,Analista de Testes,Júnior,CLT,3500,Masculino,Norte,Híbrido (presencial e remoto),Eu trabalhava remoto e a empresa forçou trabalharmos híbrido,Não,BRL,Sim,Voltei do layoff com salário menor
12/6/23 15:35,Engenheiro de Qualidade (QA Engineer),Sênior,CLT,11500,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Sim,Voltei do layoff com salário maior
12/6/23 15:36,Analista de Qualidade (QA),Pleno,CLT,3947.81,Masculino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
12/6/23 15:56,Analista de Testes,Júnior,CLT,2488,Feminino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 15:56,Líder de Testes,Sênior,PJ,13000,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
12/6/23 16:04,Analista de Qualidade (QA),Júnior,CLT,5000,Feminino,Sudeste,Híbrido (presencial e remoto),Eu trabalhava remoto e a empresa forçou trabalharmos híbrido,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 16:23,Analista de Qualidade (QA),Sênior,CLT,7200,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 16:23,Executor de Testes,Pleno,CLT,4085,Masculino,Sudeste,Híbrido (presencial e remoto),Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 16:23,Engenheiro de Qualidade (QA Engineer),Sênior,CLT,10400,Feminino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 16:27,Engenheiro de Qualidade (QA Engineer),Pleno,CLT,3500,Masculino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 16:33,Analista de Testes,Júnior,CLT,5100,Masculino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 16:35,Analista de Testes,Júnior,CLT,2100,Feminino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 16:38,Engenheiro de Qualidade (QA Engineer),Pleno,CLT,8200,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 16:45,Analista de Testes,Júnior,CLT,3700,Masculino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 16:49,Analista de Qualidade (QA),Júnior,CLT,3750,Masculino,Centro-Oeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Sim,Voltei do layoff com salário maior
12/6/23 16:51,Engenheiro de Qualidade (QA Engineer),Sênior,CLT,10000,Masculino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
12/6/23 16:52,Analista de Qualidade (QA),Pleno,CLT,6300,Masculino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 16:52,Executor de Testes,Estágio,CLT,1320,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 16:52,Engenheiro de Qualidade (QA Engineer),Pleno,CLT,9500,Masculino,Sudeste,Híbrido (presencial e remoto),Eu trabalhava remoto e a empresa forçou trabalharmos híbrido,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 16:54,Analista de Qualidade (QA),Pleno,CLT,6000,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 16:54,Analista de Testes,Júnior,CLT,3500,Feminino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 16:55,Analista de Qualidade (QA),Júnior,CLT,4000,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 16:56,Analista de Qualidade (QA),Júnior,CLT,3000,Masculino,Sul,Remoto para empresa no Brasil,Eu não fui contratado(a) para trabalho remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 16:58,Analista de Qualidade (QA),Júnior,CLT,4648,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 16:58,Analista de Qualidade (QA),Pleno,CLT,7100,Feminino,Sudeste,Híbrido (presencial e remoto),Eu trabalhava remoto e a empresa forçou trabalharmos híbrido,"Sim, entre 1 e 8 horas por semana",BRL,Sim,Voltei do layoff com salário maior
12/6/23 16:58,Analista de Testes,Júnior,CLT,2310,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 16:59,Analista de Testes,Estágio,Contrato,2100,Masculino,Sudeste,Híbrido (presencial e remoto),Eu não fui contratado(a) para trabalho remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 16:59,Analista de Qualidade (QA),Júnior,CLT,1760,Feminino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 16:59,Analista de Qualidade (QA),Pleno,CLT,4200,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 16:59,Analista de Testes,Júnior,CLT,4077,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 16:59,Líder de Testes,Especialista,CLT,11500,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 17:00,Analista de Qualidade (QA),Pleno,CLT,7000,Feminino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Sim,Voltei do layoff com salário maior
12/6/23 17:06,Analista de Qualidade (QA),Júnior,CLT,2300,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 17:06,Líder de Testes,Especialista,CLT,16000,Masculino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 17:11,Analista de Qualidade (QA),Júnior,CLT,3500,Feminino,Norte,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 17:13,Analista de Testes,Júnior,CLT,2517,Feminino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 17:14,Analista de Qualidade (QA),Pleno,CLT,8015,Masculino,Centro-Oeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 17:14,Analista de Testes,Estágio,Contrato,1500,Feminino,Centro-Oeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 17:15,Analista de Testes,Júnior,CLT,2200,Feminino,Nordeste,Presencial,Eu não fui contratado(a) para trabalho remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 17:16,Analista de Testes,Júnior,PJ,4300,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 17:19,Analista de Testes,Júnior,CLT,3083,Feminino,Norte,Híbrido (presencial e remoto),Eu não fui contratado(a) para trabalho remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 17:20,Analista de Qualidade (QA),Pleno,CLT,6500,Feminino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 17:21,Analista de Testes,Pleno,CLT,4197,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 17:22,Analista de Qualidade (QA),Pleno,CLT,4100,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 17:23,Analista de Qualidade (QA),Pleno,PJ,5000,Masculino,Sudeste,Híbrido (presencial e remoto),Eu não fui contratado(a) para trabalho remoto,"Sim, entre 1 e 8 horas por semana",BRL,Sim,Voltei do layoff com salário maior
12/6/23 17:25,Analista de Qualidade (QA),Júnior,CLT,3800,Masculino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 17:26,Analista de Qualidade (QA),Trainee,CLT,2500,Feminino,Sudeste,Híbrido (presencial e remoto),Eu não fui contratado(a) para trabalho remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 17:27,Analista de Qualidade (QA),Pleno,CLT,5878,Feminino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 17:28,Analista de Qualidade (QA),Pleno,PJ,6000,Feminino,Sul,Híbrido (presencial e remoto),Eu trabalhava remoto e a empresa forçou trabalharmos híbrido,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 17:29,Analista de Qualidade (QA),Sênior,CLT,8300,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
12/6/23 17:29,Engenheiro de Qualidade (QA Engineer),Pleno,PJ,12500,Masculino,Sul,Remoto para empresa em outro país,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 17:30,Engenheiro de Qualidade (QA Engineer),Sênior,CLT,10135,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
12/6/23 17:31,Analista de Qualidade (QA),Pleno,CLT,5008,Masculino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 17:32,Analista de Testes,Júnior,CLT,4270,Masculino,Norte,Presencial,Eu trabalhava remoto e a empresa forçou trabalharmos presencial,Não,BRL,Sim,Voltei do layoff com salário menor
12/6/23 17:32,Analista de Qualidade (QA),Júnior,CLT,3100,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 17:32,Analista de Qualidade (QA),Júnior,CLT,4000,Masculino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 17:33,Engenheiro de Qualidade (QA Engineer),Pleno,PJ,8000,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 17:35,Analista de Qualidade (QA),Júnior,CLT,5000,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Sim,Voltei do layoff com salário menor
12/6/23 17:35,Analista de Testes,Sênior,CLT,6600,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Sim,Voltei do layoff com salário menor
12/6/23 17:35,Analista de Qualidade (QA),Pleno,CLT,6500,Masculino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 17:35,Engenheiro de Qualidade (QA Engineer),Sênior,PJ,11000,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
12/6/23 17:35,Analista de Testes,Júnior,CLT,3500,Feminino,Sul,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,Não,BRL,Não,Não fui atingido por lay-offs
12/6/23 17:36,Analista de Testes,Especialista,CLT,10600,Masculino,Sudeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 17:36,Engenheiro de Qualidade (QA Engineer),Pleno,CLT,9700,Masculino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, entre 1 e 8 horas por semana",BRL,Não,Não fui atingido por lay-offs
12/6/23 17:37,Automatizador de Testes,Sênior,CLT,8800,Masculino,Nordeste,Remoto para empresa no Brasil,Eu trabalhava remoto e continuo trabalhando remoto,"Sim, mais de 8 horas por semama",BRL,Não,Não fui atingido por lay-offs
